Wall time,Step,Value
1764925506.0166402,0,5.626165390014648
1764926477.6507504,10,6.444988250732422
1764927449.3573403,20,7.297819137573242
1764928421.2550647,30,7.73436975479126
1764929392.3167198,40,8.381020545959473
1764930366.6237543,50,9.296052932739258
1764931339.1346264,60,10.593997955322266
1764932311.1888862,70,12.240571975708008
1764933281.747009,80,14.045717239379883
1764934253.1678665,90,15.739795684814453
1764935225.8059442,100,17.163406372070312
1764936196.5716417,110,18.337207794189453
1764937169.157256,120,19.23126792907715
1764938141.1463683,130,19.845869064331055
1764939112.9644833,140,20.199562072753906
1764940085.296167,150,20.356285095214844
1764941056.4808192,160,20.465492248535156
1764942027.9174254,170,20.476213455200195
1764942999.6407926,180,20.461488723754883
1764943971.7814522,190,20.436124801635742
1764944863.4021456,199,20.403411865234375
1764945575.1278286,200,20.373170852661133
1764947359.2063656,220,20.320932388305664
1764949143.98151,240,20.25208282470703
1764950929.3497047,260,20.207138061523438
1764952713.4531956,280,20.152936935424805
1764954500.0573635,300,20.122163772583008
1764956283.0340664,320,20.077756881713867
1764958066.281465,340,20.041837692260742
1764959853.8202088,360,20.01757049560547
1764961638.4089868,380,20.0036563873291
1764963425.4244661,400,19.989133834838867
1764965209.0013638,420,19.96855926513672
1764966992.857099,440,19.952800750732422
1764968779.6320693,460,19.944482803344727
1764970563.6819367,480,19.93476104736328
1764972350.1147885,500,19.902206420898438
1764974132.8396647,520,19.91876983642578
1764975917.0418227,540,19.89405632019043
1764977701.8591821,560,19.8929443359375
1764979486.7026143,580,19.88608169555664
1764981191.5201514,599,19.89011573791504
