Wall time,Step,Value
1764992532.736658,384,0.5104597806930542
1764992562.5360985,512,0.3480394184589386
1764994457.02262,1641,0.1221538633108139
1764994551.7449844,2641,0.16981753706932068
1764994581.796235,2961,0.10587788373231888
1764994646.5924804,3641,0.07530853897333145
1764994676.6513789,3961,0.07679679989814758
1764994681.328313,4000,0.07852470129728317
1764994741.4827685,4641,0.061657924205064774
1764994771.5436208,4961,0.04979086294770241
1764994836.2482667,5641,0.06267593801021576
1764994866.3124177,5961,0.05733145773410797
1764995004.6378949,7320,0.06347163021564484
1764995129.7812905,8641,0.04310155287384987
1764995164.4896364,9000,0.04098270460963249
1764995349.374009,10961,0.03646114468574524
1764995665.4269092,11000,0.0366385281085968
1764995695.4065824,11320,0.03776859492063522
1764995755.5724945,11961,0.028598222881555557
1764995820.5187244,12641,0.033072683960199356
1764995885.4845164,13320,0.032238271087408066
1764995950.6198573,14000,0.033258188515901566
1764995980.7742639,14320,0.04500272125005722
1764996010.9339721,14641,0.04154437035322189
1764996041.0302477,14961,0.07394038885831833
1764996075.7819326,15320,0.020277589559555054
1764996105.8467047,15641,0.03149203583598137
1764996136.1215584,15961,0.025434022769331932
1764996149.7258165,16000,0.025568075478076935
1764996210.1591303,16641,0.02476036176085472
1764996240.2118056,16961,0.021329747512936592
1764996369.9969788,18320,0.03384408354759216
1764996430.2256188,18961,0.02435898594558239
1764996434.8698676,19000,0.022531094029545784
1764996495.0433416,19641,0.025201354175806046
1764996559.937172,20320,0.022573120892047882
1764996966.1581252,21320,0.025999782606959343
1764996996.6953716,21641,0.027099382132291794
1764997217.0323346,23961,0.024768050760030746
1764997221.6462443,24000,0.019997816532850266
1764997311.908157,24961,0.02957507036626339
1764997376.7691698,25641,0.017398003488779068
1764997406.8569534,25961,0.023877805098891258
1764997450.5928144,26320,0.020964663475751877
1764997610.5818782,28000,0.0254818145185709
1764997735.6632357,29320,0.02937883697450161
1764997830.8826575,30320,0.016228733584284782
1764997861.0415428,30641,0.019220082089304924
1764998206.5415723,31000,0.02272913232445717
1764998266.9508543,31641,0.017543096095323563
1764998297.452527,31961,0.020326916128396988
1764998398.1360292,33000,0.026476548984646797
1764998428.3068564,33320,0.019701115787029266
1764998588.388148,35000,0.02062404155731201
1764998648.6378365,35641,0.02029305510222912
1764998678.9353795,35961,0.019764039665460587
1764998752.8053987,36641,0.01636120304465294
1764998913.4385278,38320,0.01842900738120079
1764998973.7015872,38961,0.023479340597987175
1764998978.364668,39000,0.029824886471033096
1764999038.624203,39641,0.019099414348602295
1764999073.450106,40000,0.020998146384954453
1764999539.1036875,41641,0.018407121300697327
1764999569.4301555,41961,0.01601393148303032
1764999574.0749338,42000,0.02012890763580799
1764999666.4987197,42961,0.01663816161453724
1764999671.406572,43000,0.020242096856236458
1764999702.0528288,43320,0.019676566123962402
1764999797.6142368,44320,0.015570453368127346
1764999862.7647343,45000,0.020812759175896645
1764999892.9610422,45320,0.018426889553666115
1764999923.113999,45641,0.019432419911026955
1765000027.1698475,46641,0.01650623232126236
1765000057.3123271,46961,0.015445156022906303
1765000062.0035274,47000,0.018285803496837616
1765000152.7053525,47961,0.01299656555056572
1765000248.3316317,48961,0.0184121523052454
1765000253.0570614,49000,0.018000954762101173
1765000313.3357263,49641,0.022090142592787743
1765000343.4958398,49961,0.022485259920358658
1765000348.2347264,50000,0.021176554262638092
1765000378.389595,50320,0.01767139881849289
1765000438.6547253,50961,0.017813922837376595
1765000788.5326862,51320,0.01758190058171749
1765000848.786908,51961,0.01842133142054081
1765000883.699151,52320,0.015168527141213417
1765000944.3027985,52961,0.015947485342621803
1765000948.9651566,53000,0.01923556812107563
1765001040.0597537,53961,0.02136930078268051
1765001044.8216486,54000,0.014644913375377655
1765001075.250768,54320,0.0178306195884943
1765001105.7598467,54641,0.015547468326985836
1765001140.8168256,55000,0.014565063640475273
1765001274.8758707,56320,0.02006557211279869
1765001465.7020912,58320,0.014077691361308098
1765001495.915496,58641,0.019255071878433228
1765001526.1179984,58961,0.015264169313013554
1765001561.1288342,59320,0.017259877175092697
1765001626.6614141,60000,0.015767822042107582
1765001656.8261485,60320,0.0178056713193655
1765001687.5115542,60641,0.015865540131926537
1765001717.6961195,60961,0.016304709017276764
1765002159.6053736,62320,0.0182268675416708
