Wall time,Step,Value
1765088274.1993816,0,5.633847236633301
1765090717.1565087,10,8.328776359558105
1765093162.4774423,20,8.585700035095215
1765095606.1211438,30,9.587742805480957
1765098053.5554361,40,11.908682823181152
1765100506.384528,50,14.940951347351074
1765102952.2190359,60,17.736066818237305
1765105398.4131482,70,19.620681762695312
1765107845.2081597,80,20.601713180541992
1765110293.9229827,90,20.977807998657227
1765112751.6171925,100,21.103933334350586
1765115198.2833872,110,21.103975296020508
1765117649.5435832,120,21.06020164489746
1765120097.476832,130,21.064878463745117
1765122551.1177516,140,21.01665687561035
1765125006.2780123,150,20.963821411132812
1765127456.903004,160,20.95290756225586
1765129907.8835042,170,20.92724609375
1765132360.4574296,180,20.89822769165039
1765134814.3568385,190,20.863611221313477
1765137277.8711894,200,20.848493576049805
1765139731.4704838,210,20.810941696166992
1765142183.0294216,220,20.784238815307617
1765144638.108292,230,20.76967430114746
1765147092.5765386,240,20.748138427734375
1765149554.907385,250,20.72443199157715
1765152007.1298544,260,20.70877456665039
1765154459.0845304,270,20.695693969726562
1765156913.8421116,280,20.68513298034668
1765159369.197804,290,20.678443908691406
1765161629.2922618,299,20.660005569458008
