Wall time,Step,Value
1764925506.016802,0,0.03617803752422333
1764926477.6509185,10,0.09810563921928406
1764927449.3574407,20,0.13248583674430847
1764928421.2551677,30,0.13701698184013367
1764929392.3169467,40,0.15948039293289185
1764930366.6238673,50,0.19337798655033112
1764931339.1348422,60,0.23947617411613464
1764932311.1891012,70,0.3038902282714844
1764933281.7471979,80,0.37815362215042114
1764934253.1680894,90,0.4453743100166321
1764935225.8061256,100,0.4996757507324219
1764936196.571861,110,0.5451753735542297
1764937169.1573453,120,0.5819606781005859
1764938141.146534,130,0.6103358268737793
1764939112.9646494,140,0.62885981798172
1764940085.2963858,150,0.6393647789955139
1764941056.4810517,160,0.6466845273971558
1764942027.917603,170,0.6501525640487671
1764942999.641012,180,0.6518214344978333
1764943971.7816205,190,0.6529333591461182
1764944863.4023943,199,0.652525782585144
1764945575.1280322,200,0.6514260768890381
1764947359.2064338,220,0.6504726409912109
1764949143.9817424,240,0.6482033729553223
1764950929.3499315,260,0.6458492279052734
1764952713.4534185,280,0.643519937992096
1764954500.0575843,300,0.6417708396911621
1764956283.0343266,320,0.6396281123161316
1764958066.2816832,340,0.6364353895187378
1764959853.8204265,360,0.6347755193710327
1764961638.4091737,380,0.6337478160858154
1764963425.424536,400,0.6320508122444153
1764965209.0015764,420,0.6303938627243042
1764966992.8573246,440,0.6287608742713928
1764968779.6321557,460,0.6278757452964783
1764970563.6821554,480,0.6263129711151123
1764972350.1150057,500,0.6246738433837891
1764974132.8398793,520,0.624977171421051
1764975917.0419981,540,0.6240918040275574
1764977701.8592658,560,0.6237068176269531
1764979486.702833,580,0.6234032511711121
1764981191.5203264,599,0.6230660676956177
