Wall time,Step,Value
1765088274.1995308,0,0.03935524448752403
1765090717.1566455,10,0.19494156539440155
1765093162.4776645,20,0.13304100930690765
1765095606.12136,30,0.16464833915233612
1765098053.555633,40,0.27652764320373535
1765100506.38475,50,0.398033082485199
1765102952.2191858,60,0.5029636025428772
1765105398.4133258,70,0.5702939629554749
1765107845.208386,80,0.6069682240486145
1765110293.9231935,90,0.6245872974395752
1765112751.6174133,100,0.631303608417511
1765115198.2835605,110,0.6334507465362549
1765117649.5437968,120,0.632384717464447
1765120097.477051,130,0.6324244141578674
1765122551.1178286,140,0.6317251324653625
1765125006.278176,150,0.6299068927764893
1765127456.9031923,160,0.6294277310371399
1765129907.8837218,170,0.6291580200195312
1765132360.4576147,180,0.6280849575996399
1765134814.3570137,190,0.6264901161193848
1765137277.871377,200,0.6255560517311096
1765139731.4707022,210,0.6243541836738586
1765142183.0295773,220,0.6226603388786316
1765144638.10836,230,0.6216564178466797
1765147092.576702,240,0.620492160320282
1765149554.9076145,250,0.619068443775177
1765152007.130067,260,0.618699312210083
1765154459.084685,270,0.6174589395523071
1765156913.8422146,280,0.6172788143157959
1765159369.198015,290,0.6172119975090027
1765161629.2923963,299,0.6157162189483643
