Wall time,Step,Value
1764993438.153852,0,5.80364465713501
1764995664.2303634,10,6.665535926818848
1764996934.6393516,20,7.973001956939697
1764998205.3749547,30,8.529990196228027
1764999477.6235025,40,8.751038551330566
1765000757.2468455,50,9.230551719665527
1765002032.33325,60,10.06936264038086
1765003307.2951357,70,11.303248405456543
1765004580.9710877,80,12.855484008789062
1765005853.5416062,90,14.501054763793945
1765007132.728022,100,15.986527442932129
1765008407.2500374,110,17.197160720825195
1765009680.723377,120,18.097707748413086
1765010954.1026714,130,18.743860244750977
1765012229.793298,140,20.241432189941406
1765013506.571217,150,20.59461784362793
1765014779.663736,160,20.832275390625
1765016055.3495445,170,20.96776008605957
1765017329.8071322,180,21.048805236816406
1765018604.4224331,190,21.088882446289062
1765019882.7872295,200,21.100309371948242
1765021154.6087253,210,21.082462310791016
1765022429.033599,220,21.06121826171875
1765023701.4645267,230,21.045440673828125
1765024976.555551,240,21.016193389892578
1765026252.8938138,250,21.006736755371094
1765027529.3990648,260,20.9718074798584
1765028802.546335,270,20.949979782104492
1765030075.9211428,280,20.931459426879883
1765031349.6458929,290,20.895362854003906
1765032627.0294905,300,20.873641967773438
1765033902.5502744,310,20.846359252929688
1765035175.0544848,320,20.832265853881836
1765036448.3498187,330,20.801471710205078
1765037723.2064984,340,20.782258987426758
1765039000.7766604,350,20.771263122558594
1765040277.0909193,360,20.759057998657227
1765041548.44442,370,20.740137100219727
1765042820.845934,380,20.725095748901367
1765044096.1959379,390,20.711034774780273
1765045372.2047112,400,20.703475952148438
1765046646.2463346,410,20.68239974975586
1765047918.4656963,420,20.672033309936523
1765049191.5139441,430,20.662954330444336
1765050466.3026567,440,20.64975357055664
1765051743.827581,450,20.623458862304688
1765053018.2281246,460,20.627710342407227
1765054291.0252879,470,20.61284828186035
1765055566.0561528,480,20.59873390197754
1765056838.9123542,490,20.58969497680664
1765058118.5654566,500,20.579021453857422
1765059391.592491,510,20.570011138916016
1765060665.4834054,520,20.55084800720215
1765061941.2951298,530,20.548765182495117
1765063214.3022304,540,20.538700103759766
1765064493.456692,550,20.5307559967041
1765065768.4602413,560,20.52537727355957
1765067040.0823123,570,20.5211124420166
1765068316.7857635,580,20.523237228393555
1765069588.8790567,590,20.507978439331055
1765070767.33985,599,20.507938385009766
