Wall time,Step,Value
1764993438.1539178,0,0.04431697726249695
1764995664.2306104,10,0.1175152063369751
1764996934.6394255,20,0.1651020050048828
1764998205.3751795,30,0.16444572806358337
1764999477.6235855,40,0.15479478240013123
1765000757.2470698,50,0.17355996370315552
1765002032.3334785,60,0.19988752901554108
1765003307.2952094,70,0.23711425065994263
1765004580.9712682,80,0.2943058907985687
1765005853.5417218,90,0.3665265142917633
1765007132.728247,100,0.4365544319152832
1765008407.2502773,110,0.4919132888317108
1765009680.7236135,120,0.5301726460456848
1765010954.1028576,130,0.556355357170105
1765012229.7933881,140,0.6072386503219604
1765013506.5714445,150,0.618716835975647
1765014779.6639106,160,0.6271306872367859
1765016055.3497605,170,0.6318309903144836
1765017329.8072007,180,0.6340644955635071
1765018604.4226558,190,0.6356065273284912
1765019882.7874527,200,0.6363657116889954
1765021154.6089528,210,0.635837972164154
1765022429.033813,220,0.6357241272926331
1765023701.464597,230,0.6361818909645081
1765024976.55577,240,0.6357938647270203
1765026252.8940384,250,0.636090099811554
1765027529.399234,260,0.634577751159668
1765028802.546571,270,0.6348532438278198
1765030075.9213662,280,0.6345476508140564
1765031349.646099,290,0.6329423785209656
1765032627.029718,300,0.6324486136436462
1765033902.5505,310,0.6313406229019165
1765035175.0547066,320,0.6307030916213989
1765036448.3499079,330,0.6293452978134155
1765037723.206734,340,0.6285385489463806
1765039000.7768853,350,0.628300666809082
1765040277.0911415,360,0.62752366065979
1765041548.444493,370,0.6269349455833435
1765042820.8461547,380,0.6262502670288086
1765044096.1961615,390,0.6257278919219971
1765045372.204937,400,0.6251581907272339
1765046646.2465534,410,0.6241884231567383
1765047918.4659133,420,0.6237313151359558
1765049191.5141666,430,0.6229963302612305
1765050466.3028817,440,0.6223763823509216
1765051743.8277571,450,0.6208524107933044
1765053018.2283423,460,0.6212469935417175
1765054291.0255113,470,0.6207485198974609
1765055566.0563712,480,0.6197892427444458
1765056838.9125853,490,0.619185209274292
1765058118.5656803,500,0.6185182929039001
1765059391.5927138,510,0.6180623769760132
1765060665.4834776,520,0.616919994354248
1765061941.2953136,530,0.616568386554718
1765063214.3024738,540,0.6164723634719849
1765064493.4567635,550,0.6157034635543823
1765065768.4604554,560,0.6154201030731201
1765067040.0825448,570,0.6153197884559631
1765068316.7859938,580,0.6152295470237732
1765069588.8792796,590,0.614521324634552
1765070767.340074,599,0.614292562007904
